original_tag,division,question_id,has_reasoning,has_final,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,reasoning_budget_hit,finish_reason,near_generation_cap,near_context_limit,loop_candidate,confirmed_loop,clean_final,gen_t_s,pp_t_s,wall_ms
B,cyber,C13,yes,yes,76,4461,4537,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.3,64.14,114786.6
B,cyber,C14,yes,yes,81,2139,2220,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,37.87,56.82,58035.4
C,general,G1,yes,yes,91,2156,2247,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,35.35,22.5,65051.1
C,general,G2,yes,yes,93,2667,2760,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,32.1,73.9,84359.4
C,general,G3,yes,yes,116,4141,4257,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,30.25,82.41,138403.2
C,general,G4,yes,yes,146,4884,5030,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,30.89,106.8,159624.3
C,general,G5,yes,yes,125,2490,2615,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.53,93.03,75768.1
C,general,G6,yes,yes,84,3049,3133,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,32.58,67.73,94831.0
C,general,G7,yes,yes,155,4267,4422,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,31.94,125.98,134977.0
C,general,G8,yes,yes,87,833,920,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.66,68.12,26068.4
C,general,G9,yes,yes,109,4711,4820,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.36,83.57,142528.4
C,general,G10,yes,yes,118,1089,1207,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.49,79.62,34130.1
C,general,G11,yes,yes,95,4213,4308,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,32.89,77.69,129322.2
C,general,G12,yes,yes,86,4119,4205,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.27,73.2,125042.0
C,general,G13,yes,yes,83,4236,4319,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.15,73.09,128940.5
C,general,G14,yes,yes,76,1810,1886,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,34.08,67.47,54278.5
C,general,G15,yes,yes,99,1198,1297,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.39,77.16,37205.3
C,general,G16,yes,yes,87,1654,1741,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.81,76.61,50134.1
C,general,G17,yes,yes,129,2285,2414,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,34.1,97.3,68487.1
C,general,G18,yes,yes,112,4980,5092,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.53,91.39,149925.9
C,cyber,C1,yes,yes,120,2106,2226,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,36.26,30.84,62009.8
C,cyber,C2,yes,yes,165,1609,1774,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.88,122.16,48949.9
C,cyber,C3,yes,yes,120,3010,3130,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.69,96.01,90699.3
C,cyber,C4,yes,yes,129,2132,2261,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,34.83,102.35,62596.6
C,cyber,C5,yes,yes,120,2488,2608,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,35.08,98.37,72235.4
C,cyber,C6,yes,yes,291,2033,2324,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,36.05,206.89,57904.8
C,cyber,C7,yes,yes,127,4402,4529,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,34.74,101.0,128082.0
C,cyber,C8,yes,yes,110,2603,2713,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,35.88,84.03,73980.0
C,cyber,C9,yes,yes,106,8086,8192,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,yes,yes,yes,yes,no,34.24,82.0,237527.0
C,cyber,C10,yes,yes,116,4239,4355,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,32.2,104.43,132933.6
C,cyber,C11,yes,yes,79,2627,2706,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.66,67.46,79247.8
C,cyber,C12,yes,yes,107,1533,1640,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,33.7,75.25,46947.3
C,cyber,C13,yes,yes,83,3113,3196,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,29.97,71.5,105064.4
C,cyber,C14,yes,yes,85,2058,2143,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,31.73,70.88,66130.5
D,general,G1,yes,yes,85,3187,3272,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.9,18.95,84372.3
D,general,G2,yes,yes,86,2544,2630,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.63,57.51,65794.3
D,general,G3,yes,yes,109,1651,1760,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.57,61.76,42549.8
D,general,G4,yes,yes,135,2939,3074,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.59,75.77,70904.5
D,general,G5,yes,yes,117,5299,5416,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.42,62.72,133068.9
D,general,G6,yes,yes,77,2769,2846,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.1,59.91,68764.2
D,general,G7,yes,yes,138,1698,1836,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.86,89.9,42193.5
D,general,G8,yes,yes,77,1154,1231,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.47,62.19,28494.1
D,general,G9,yes,yes,102,4916,5018,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.94,76.75,121518.6
D,general,G10,yes,yes,110,472,582,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.84,80.62,13056.8
D,general,G11,yes,yes,90,1775,1865,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.95,75.82,45702.1
D,general,G12,yes,yes,80,1076,1156,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,43.27,57.76,26359.8
D,general,G13,yes,yes,77,3223,3300,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.01,69.41,79788.9
D,general,G14,yes,yes,70,2783,2853,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,38.59,61.31,73381.6
D,general,G15,yes,yes,95,2127,2222,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.5,70.73,52733.6
D,general,G16,yes,yes,81,4828,4909,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.4,69.34,117897.6
D,general,G17,yes,yes,122,5515,5637,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,38.0,83.48,146763.3
D,general,G18,yes,yes,104,4982,5086,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.84,80.53,126513.8
D,cyber,C1,yes,yes,106,1537,1643,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.76,22.25,40727.7
D,cyber,C2,yes,yes,151,5077,5228,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.07,102.14,128278.1
D,cyber,C3,yes,yes,113,4085,4198,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.59,81.14,102155.9
D,cyber,C4,yes,yes,117,5304,5421,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.89,65.16,131626.9
D,cyber,C5,yes,yes,112,5959,6071,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.88,88.6,147121.0
D,cyber,C6,yes,yes,273,2588,2861,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.03,131.52,66842.2
D,cyber,C7,yes,yes,119,4663,4782,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,36.67,81.5,128715.2
D,cyber,C8,yes,yes,100,4984,5084,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,36.46,52.57,138723.7
D,cyber,C9,yes,yes,99,4702,4801,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.24,60.98,118584.5
D,cyber,C10,yes,yes,111,1465,1576,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.19,89.09,36936.2
D,cyber,C11,yes,yes,74,4880,4954,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.1,69.74,122892.0
D,cyber,C12,yes,yes,102,3936,4038,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.03,81.86,97301.6
D,cyber,C13,yes,yes,76,2985,3061,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.95,70.12,74110.3
D,cyber,C14,yes,yes,81,2241,2322,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.86,74.8,56058.7
E,general,G1,yes,yes,84,636,720,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.99,19.79,20163.4
E,general,G2,yes,yes,85,1145,1230,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.09,64.17,29952.7
E,general,G3,yes,yes,108,336,444,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.69,72.22,9826.5
E,general,G4,yes,yes,134,1689,1823,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.95,93.88,43773.7
E,general,G5,yes,yes,116,4599,4715,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,38.04,93.12,122222.1
E,general,G6,yes,yes,76,1841,1917,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.39,63.95,46928.9
E,general,G7,yes,yes,137,4398,4535,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.97,95.85,108868.7
E,general,G8,yes,yes,76,1015,1091,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,35.78,60.64,29753.7
E,general,G9,yes,yes,101,4620,4721,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,35.62,74.22,131136.8
E,general,G10,yes,yes,109,401,510,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,34.39,55.41,13756.7
E,general,G11,yes,yes,89,3196,3285,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,34.11,47.36,95686.0
E,general,G12,yes,yes,79,755,834,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,37.02,65.33,21728.6
E,general,G13,yes,yes,76,3378,3454,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.56,64.77,86675.6
E,general,G14,yes,yes,69,742,811,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.34,55.68,20235.3
E,general,G15,yes,yes,94,4379,4473,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.63,48.01,112579.9
E,general,G16,yes,yes,80,5142,5222,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,38.87,57.45,133876.0
E,general,G17,yes,yes,121,6985,7106,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.53,72.62,170042.3
E,general,G18,yes,yes,103,4661,4764,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.81,81.07,118537.2
E,cyber,C1,yes,yes,105,4393,4498,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.64,14.98,112526.2
E,cyber,C2,yes,yes,150,4464,4614,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.08,96.04,110392.2
E,cyber,C3,yes,yes,112,4486,4598,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.59,79.59,106868.1
E,cyber,C4,yes,yes,116,4734,4850,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.79,81.83,120512.9
E,cyber,C5,yes,yes,111,6162,6273,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,37.47,83.74,165959.0
E,cyber,C6,yes,yes,272,1956,2228,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,38.11,147.56,53322.8
E,cyber,C7,yes,yes,118,4475,4593,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,37.86,77.63,119846.7
E,cyber,C8,yes,yes,99,4479,4578,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.18,49.06,110940.9
E,cyber,C9,yes,yes,98,1602,1700,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.25,79.22,42196.6
E,cyber,C10,yes,yes,110,4888,4998,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.72,86.19,121457.2
E,cyber,C11,yes,yes,73,4608,4681,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.79,65.53,117061.1
E,cyber,C12,yes,yes,101,3275,3376,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.93,72.83,81519.1
E,cyber,C13,yes,yes,75,3436,3511,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.26,69.25,86568.2
E,cyber,C14,yes,yes,80,4581,4661,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,38.26,60.29,121202.7
F,general,G1,yes,yes,85,3015,3100,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,52.55,674.28,57503.8
F,general,G2,yes,yes,86,4767,4853,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,53.94,952.47,88562.0
F,general,G3,yes,yes,109,8083,8192,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,yes,yes,yes,yes,no,53.2,1071.01,152159.2
F,general,G4,yes,yes,135,8057,8192,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,yes,yes,yes,yes,no,53.91,1050.22,149740.5
F,general,G5,yes,yes,117,3356,3473,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,54.41,1153.96,61920.6
F,general,G6,yes,yes,77,4763,4840,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,55.32,916.88,86287.8
F,general,G7,yes,yes,138,4354,4492,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,55.53,1151.66,78638.9
F,general,G8,yes,yes,77,359,436,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,54.03,885.7,6806.9
F,general,G9,yes,yes,102,4801,4903,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,55.6,1061.68,86518.4
F,general,G10,yes,yes,110,2266,2376,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,54.58,1134.32,41732.9
F,general,G11,yes,yes,90,4226,4316,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,54.97,1045.54,77039.3
